Datum (MEZ),Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion (DE-LU)
,Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2025-01-14T16:00+01:00,36437.90477,32769.25226,141.97
2025-01-14T17:00+01:00,37280.26605,32538.70102,165.86
2025-01-14T18:00+01:00,37386.93044,32337.04326,170.07
2025-01-14T19:00+01:00,37143.64298,31773.87834,158.38
2025-01-14T20:00+01:00,36130.4652,30136.18383,135.46
2025-01-14T21:00+01:00,35400.89523,28876.40446,117.69
2025-01-14T22:00+01:00,34936.67271,27921.81326,121
2025-01-14T23:00+01:00,33832.96737,26918.59213,121.76
2025-01-15T00:00+01:00,32980.29101,26930.99814,108.28
2025-01-15T01:00+01:00,32376.91777,26590.94136,107.72
2025-01-15T02:00+01:00,32264.4829,25295.04246,108.41
2025-01-15T03:00+01:00,32584.47792,23630.14945,108.04
2025-01-15T04:00+01:00,33031.27257,22126.35456,108.75
2025-01-15T05:00+01:00,33919.39017,20755.71551,114.92
2025-01-15T06:00+01:00,36516.38022,17973.37248,134.49
2025-01-15T07:00+01:00,39069.52282,15804.31903,191.79
2025-01-15T08:00+01:00,40552.72871,14671.94531,307.24
2025-01-15T09:00+01:00,40794.04657,14734.80725,315.02
2025-01-15T10:00+01:00,40820.2018,15347.42693,311.03
2025-01-15T11:00+01:00,40740.57642,15644.63889,304.8
2025-01-15T12:00+01:00,40409.49367,15437.76859,311.02
2025-01-15T13:00+01:00,40141.78918,14595.53592,309.34
2025-01-15T14:00+01:00,40386.07116,12915.81043,285.83
2025-01-15T15:00+01:00,40961.44834,11147.90732,301.74
2025-01-15T16:00+01:00,41221.40142,10100.27201,333.52
2025-01-15T17:00+01:00,41290.86823,10021.07819,377.99
2025-01-15T18:00+01:00,40584.42043,9920.793095,324.74
2025-01-15T19:00+01:00,39791.53939,9679.927566,270.09
2025-01-15T20:00+01:00,37848.65021,9617.752775,181.66
2025-01-15T21:00+01:00,36408.10821,9542.824487,150.87
2025-01-15T22:00+01:00,35607.68962,9943.828456,141.16
2025-01-15T23:00+01:00,33883.42447,10364.20337,123.9
2025-01-16T00:00+01:00,32755.36938,10610.97518,126.33
2025-01-16T01:00+01:00,32174.10097,11068.09388,119.12
2025-01-16T02:00+01:00,32662.55721,11490.41785,117.62
2025-01-16T03:00+01:00,32807.82338,11984.99999,115.03
2025-01-16T04:00+01:00,32910.51942,12762.75873,115.75
2025-01-16T05:00+01:00,33735.28658,13292.68484,123.27
2025-01-16T06:00+01:00,34868.11516,14379.6005,138.7
2025-01-16T07:00+01:00,35702.7146,15815.77413,173.04
2025-01-16T08:00+01:00,36420.35566,17728.59166,199.65
2025-01-16T09:00+01:00,36215.76114,20502.60127,175
2025-01-16T10:00+01:00,35611.97937,23773.487,151.9
2025-01-16T11:00+01:00,35246.36115,26424.4427,140.64
2025-01-16T12:00+01:00,34757.8747,27388.43232,131.13
2025-01-16T13:00+01:00,34598.31139,26285.63218,130.58
2025-01-16T14:00+01:00,34924.89111,23398.6103,138.42
2025-01-16T15:00+01:00,35492.12612,19365.8156,163.04
2025-01-16T16:00+01:00,36083.17849,16713.93314,179.2
2025-01-16T17:00+01:00,36544.73783,16856.93794,191.56
2025-01-16T18:00+01:00,36386.79009,17612.4663,184.32
2025-01-16T19:00+01:00,35306.45338,17784.36983,179.97
2025-01-16T20:00+01:00,34429.88118,17883.35916,159.6
2025-01-16T21:00+01:00,34000.81873,17441.4061,141.6
2025-01-16T22:00+01:00,33365.1294,16965.07684,135.29
2025-01-16T23:00+01:00,32115.43927,16553.46084,123.75
2025-01-17T00:00+01:00,30903.42619,16452.88587,118.87
2025-01-17T01:00+01:00,29875.96394,16141.53478,118.39
2025-01-17T02:00+01:00,29741.22313,15649.02107,115.71
2025-01-17T03:00+01:00,29574.33215,15136.5882,114.72
2025-01-17T04:00+01:00,29694.83072,14028.35179,115.48
2025-01-17T05:00+01:00,31604.08574,13307.33864,122.16
2025-01-17T06:00+01:00,34521.36217,13119.38765,140.8
2025-01-17T07:00+01:00,36315.61425,13259.76283,175.01
2025-01-17T08:00+01:00,37038.93014,13728.03626,208.13
2025-01-17T09:00+01:00,36984.74767,15191.29472,175.34
2025-01-17T10:00+01:00,36469.04853,17597.79043,158
2025-01-17T11:00+01:00,36337.20741,19892.80062,140.73
2025-01-17T12:00+01:00,35783.0081,20781.01117,126.44
2025-01-17T13:00+01:00,35891.53707,20258.26852,124.03
2025-01-17T14:00+01:00,35922.63292,18389.55329,132.99
2025-01-17T15:00+01:00,36346.93053,15580.8043,151.98
2025-01-17T16:00+01:00,36943.03843,14094.5507,170.21
2025-01-17T17:00+01:00,37469.15624,13759.71593,178.79
2025-01-17T18:00+01:00,37769.17694,13162.36839,179.92
2025-01-17T19:00+01:00,37228.10127,12249.43978,174.22
2025-01-17T20:00+01:00,36915.15233,11672.34426,157.91
2025-01-17T21:00+01:00,35061.50144,11615.53002,145
2025-01-17T22:00+01:00,34027.27887,12207.59673,139.97
2025-01-17T23:00+01:00,33675.59246,12502.35948,126.84
2025-01-18T00:00+01:00,31867.91964,11951.53672,125.29
2025-01-18T01:00+01:00,30533.44295,11981.93582,121.05
2025-01-18T02:00+01:00,30016.43276,11781.02524,120.98
2025-01-18T03:00+01:00,29909.6215,11258.02635,118.85
2025-01-18T04:00+01:00,29797.64911,10652.43258,116.46
2025-01-18T05:00+01:00,29882.66835,10427.05358,119.77
2025-01-18T06:00+01:00,30208.93812,10225.9528,119.75
2025-01-18T07:00+01:00,31403.57751,10512.07721,133.39
2025-01-18T08:00+01:00,32699.10854,10737.28605,145.63
2025-01-18T09:00+01:00,32971.7654,13330.29514,144.1
2025-01-18T10:00+01:00,32483.0174,17422.68429,131.21
2025-01-18T11:00+01:00,32430.99369,21456.94443,121.56
2025-01-18T12:00+01:00,32508.45578,23336.7099,118.87
2025-01-18T13:00+01:00,31655.78563,22826.84944,115.01
2025-01-18T14:00+01:00,31990.62824,19648.84759,119.32
2025-01-18T15:00+01:00,32378.40435,14103.92111,133.32
2025-01-18T16:00+01:00,33015.26162,10080.80611,149.71
2025-01-18T17:00+01:00,33270.97555,10263.16591,164.59
2025-01-18T18:00+01:00,33361.69302,11044.68006,167.57
2025-01-18T19:00+01:00,33372.74166,11626.47815,167.85
2025-01-18T20:00+01:00,32937.29224,11560.29687,156.12
2025-01-18T21:00+01:00,32802.78646,11590.82874,143.42
2025-01-18T22:00+01:00,32699.83699,11217.15225,136.4
2025-01-18T23:00+01:00,32563.14329,11263.12012,129.36
2025-01-19T00:00+01:00,29063.20436,11314.06697,129.73
2025-01-19T01:00+01:00,28403.73672,11286.24906,124.2
2025-01-19T02:00+01:00,27802.22068,11316.1627,123.05
2025-01-19T03:00+01:00,27403.85763,10995.21645,121.24
2025-01-19T04:00+01:00,27460.43125,10828.10477,120.18
2025-01-19T05:00+01:00,27221.20039,10888.18426,120
